Id,MSSubClass,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,GarageType_NoNull,GarageYrBlt_NoNull,MasVnrArea_NoNull,LotFrontage_capped,LotArea_capped,TotalBsmtSF_capped,GrLivArea_capped,GarageArea_capped,1stFlrSF_capped
11,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,TA,906,Unf,0,134,GasA,Ex,Y,SBrkr,0,0,1,0,1,0,3,1,TA,5,Typ,0,None,Unf,1,TA,TA,Y,0,0,0,0,0,0,2,2008,WD,Normal,129500,Detchd,1965.0,0.0,70.0,11200.0,1040.0,1040.0,384.0,1040.0
12,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Ex,TA,PConc,Ex,TA,No,Ex,998,Unf,0,177,GasA,Ex,Y,SBrkr,1142,0,1,0,3,0,4,1,Ex,11,Typ,2,Gd,Fin,3,TA,TA,Y,147,21,0,0,0,0,7,2006,New,Partial,345000,BuiltIn,2005.0,286.0,85.0,11924.0,1175.0,2324.0,736.0,1182.0
13,20,RL,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,TA,TA,CBlock,TA,TA,No,TA,737,Unf,0,175,GasA,TA,Y,SBrkr,0,0,1,0,1,0,2,1,TA,4,Typ,0,None,Unf,1,TA,TA,Y,140,0,0,0,176,0,9,2008,WD,Normal,144000,Detchd,1962.0,0.0,,12968.0,912.0,912.0,352.0,912.0
14,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,Gd,0,Unf,0,1494,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,RFn,3,TA,TA,Y,160,33,0,0,0,0,8,2007,New,Partial,279500,Attchd,2006.0,306.0,91.0,10652.0,1494.0,1494.0,840.0,1494.0
15,20,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,TA,733,Unf,0,520,GasA,TA,Y,SBrkr,0,0,1,0,1,1,2,1,TA,5,Typ,1,Fa,RFn,1,TA,TA,Y,0,213,176,0,0,0,5,2008,WD,Normal,157000,Attchd,1960.0,212.0,,10920.0,1253.0,1253.0,352.0,1253.0
16,45,RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,TA,TA,No,TA,0,Unf,0,832,GasA,Ex,Y,FuseA,0,0,0,0,1,0,2,1,TA,5,Typ,0,None,Unf,2,TA,TA,Y,48,112,0,0,0,0,7,2007,WD,Normal,132000,Detchd,1991.0,0.0,51.0,6120.0,832.0,854.0,576.0,854.0
17,20,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,TA,578,Unf,0,426,GasA,Ex,Y,SBrkr,0,0,1,0,1,0,2,1,TA,5,Typ,1,TA,Fin,2,TA,TA,Y,0,0,0,0,0,700,3,2010,WD,Normal,149000,Attchd,1970.0,180.0,,11241.0,1004.0,1004.0,480.0,1004.0
18,90,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,TA,TA,Slab,NoBasement,NoBasement,NoBasement,NoBasement,0,NoBasement,0,0,GasA,TA,Y,SBrkr,0,0,0,0,2,0,2,2,TA,6,Typ,0,None,Unf,2,TA,TA,Y,0,0,0,0,0,500,10,2006,WD,Normal,90000,CarPort,1967.0,0.0,72.0,10791.0,0.0,1296.0,516.0,1296.0
19,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,TA,TA,No,TA,646,Unf,0,468,GasA,Ex,Y,SBrkr,0,0,1,0,1,1,3,1,Gd,6,Typ,0,None,Unf,2,TA,TA,Y,0,102,0,0,0,0,6,2008,WD,Normal,159000,Detchd,2004.0,0.0,66.0,13695.0,1114.0,1114.0,576.0,1114.0
20,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,TA,TA,CBlock,TA,TA,No,TA,504,Unf,0,525,GasA,TA,Y,SBrkr,0,0,0,0,1,0,3,1,TA,6,Min1,0,None,Unf,1,TA,TA,Y,0,0,0,0,0,0,5,2009,COD,Abnorml,139000,Attchd,1958.0,0.0,70.0,7560.0,1029.0,1339.0,294.0,1339.0
21,60,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,Ex,0,Unf,0,1158,GasA,Ex,Y,SBrkr,1218,0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,RFn,3,TA,TA,Y,240,154,0,0,0,0,11,2006,New,Partial,325300,BuiltIn,2005.0,380.0,101.0,14215.0,1158.0,2376.0,853.0,1158.0
22,45,RM,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,No,TA,0,Unf,0,637,GasA,Ex,Y,FuseF,0,0,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Unf,1,TA,TA,N,0,0,205,0,0,0,6,2007,WD,Normal,139400,Attchd,1930.0,0.0,57.0,7449.0,637.0,1108.0,280.0,1108.0
23,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Gd,0,Unf,0,1777,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,RFn,2,TA,TA,Y,171,159,0,0,0,0,9,2008,WD,Normal,230000,Attchd,2002.0,281.0,75.0,9742.0,1777.0,1795.0,534.0,1795.0
24,120,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,Gd,TA,No,Gd,840,Unf,0,200,GasA,TA,Y,SBrkr,0,0,1,0,1,0,3,1,TA,6,Typ,1,TA,Unf,2,TA,TA,Y,100,110,0,0,0,0,6,2007,WD,Normal,129900,Attchd,1976.0,0.0,44.0,4224.0,1040.0,1060.0,572.0,1060.0
25,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,TA,Gd,CBlock,TA,TA,Mn,TA,188,ALQ,668,204,GasA,Ex,Y,SBrkr,0,0,1,0,1,0,3,1,Gd,6,Typ,1,TA,Unf,1,TA,TA,Y,406,90,0,0,0,0,5,2010,WD,Normal,154000,Attchd,1968.0,0.0,,8246.0,1060.0,1060.0,270.0,1060.0
26,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Gd,0,Unf,0,1566,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,RFn,3,TA,TA,Y,0,56,0,0,0,0,7,2009,WD,Normal,256300,Attchd,2007.0,640.0,110.0,14230.0,1566.0,1600.0,890.0,1600.0
27,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Mn,TA,234,Rec,486,180,GasA,TA,Y,SBrkr,0,0,0,1,1,0,3,1,Gd,5,Typ,0,None,Unf,2,TA,TA,Y,222,32,0,0,0,0,5,2010,WD,Normal,134800,Detchd,2005.0,0.0,60.0,7200.0,900.0,900.0,576.0,900.0
28,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,Ex,1218,Unf,0,486,GasA,Ex,Y,SBrkr,0,0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,RFn,3,TA,TA,Y,0,50,0,0,0,0,5,2010,WD,Normal,306000,Attchd,2008.0,200.0,98.0,11478.0,1704.0,1704.0,772.0,1704.0
29,20,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Gd,TA,1277,Unf,0,207,GasA,TA,Y,SBrkr,0,0,1,0,1,0,2,1,TA,6,Typ,2,Gd,RFn,1,TA,TA,Y,288,258,0,0,0,0,12,2006,WD,Normal,207500,Attchd,1957.0,0.0,47.0,16321.0,1484.0,1600.0,319.0,1600.0
30,30,RM,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,TA,0,Unf,0,520,GasA,Fa,N,SBrkr,0,0,0,0,1,0,1,1,Fa,4,Typ,0,None,Unf,1,Fa,TA,Y,49,0,87,0,0,0,5,2008,WD,Normal,68500,Detchd,1920.0,0.0,60.0,6324.0,520.0,520.0,240.0,520.0
31,70,C,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,TA,Fa,BrkTil,TA,TA,No,TA,0,Unf,0,649,GasA,TA,N,SBrkr,668,0,0,0,1,0,3,1,TA,6,Typ,0,None,Unf,1,TA,Fa,N,0,54,172,0,0,0,7,2008,WD,Normal,40000,Detchd,1920.0,0.0,50.0,8500.0,649.0,1317.0,250.0,649.0
32,20,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,TA,0,Unf,0,1228,GasA,Gd,Y,SBrkr,0,0,0,0,1,1,3,1,Gd,6,Typ,0,None,Unf,1,TA,TA,Y,0,65,0,0,0,0,6,2008,WD,Normal,149350,Attchd,1966.0,0.0,,8544.0,1228.0,1228.0,271.0,1228.0
33,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,Ex,0,Unf,0,1234,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,Gd,7,Typ,0,None,RFn,2,TA,TA,Y,0,30,0,0,0,0,1,2008,WD,Normal,179900,Attchd,2007.0,0.0,85.0,11049.0,1234.0,1234.0,484.0,1234.0
34,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,TA,1018,Unf,0,380,GasA,Gd,Y,SBrkr,0,0,0,1,1,1,4,1,Gd,6,Typ,1,Gd,RFn,2,TA,TA,Y,0,38,0,0,0,0,4,2010,WD,Normal,165500,Attchd,1959.0,0.0,70.0,10552.0,1398.0,1700.0,447.0,1700.0
35,120,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,No,Ex,1153,Unf,0,408,GasA,Ex,Y,SBrkr,0,0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Fin,2,TA,TA,Y,203,47,0,0,0,0,8,2007,WD,Normal,277500,Attchd,2005.0,246.0,60.0,7313.0,1561.0,1561.0,556.0,1561.0
36,60,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,Ex,0,Unf,0,1117,GasA,Ex,Y,SBrkr,1320,0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,Fin,3,TA,TA,Y,113,32,0,0,0,0,9,2006,WD,Normal,309000,BuiltIn,2004.0,132.0,108.0,13418.0,1117.0,2452.0,691.0,1132.0
37,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,Gd,0,Unf,0,1097,GasA,Ex,Y,SBrkr,0,0,0,0,1,1,3,1,TA,6,Typ,0,None,Unf,2,TA,TA,Y,392,64,0,0,0,0,6,2009,WD,Normal,145000,Attchd,1995.0,0.0,112.0,10859.0,1097.0,1097.0,672.0,1097.0
38,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,TA,1213,Unf,0,84,GasA,Gd,Y,SBrkr,0,0,0,1,1,0,3,1,TA,5,Typ,1,TA,Fin,2,TA,TA,Y,0,0,0,0,0,0,10,2009,WD,Normal,153000,Attchd,1954.0,650.0,74.0,8532.0,1297.0,1297.0,498.0,1297.0
39,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,No,TA,731,Unf,0,326,GasA,TA,Y,SBrkr,0,0,1,0,1,0,3,1,Gd,5,Typ,0,None,Unf,1,TA,TA,Y,0,52,0,0,0,0,1,2010,WD,Abnorml,109000,Detchd,1953.0,0.0,68.0,7922.0,1057.0,1057.0,246.0,1057.0
40,90,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,TA,PConc,NoBasement,NoBasement,NoBasement,NoBasement,0,NoBasement,0,0,GasA,TA,N,FuseP,0,0,0,0,2,0,2,2,Fa,6,Typ,0,None,NoGarage,0,NoGarage,NoGarage,N,0,0,0,0,0,0,6,2008,WD,AdjLand,82000,None,2005.0,0.0,65.0,6040.0,0.0,1152.0,0.0,1152.0
41,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,TA,643,Unf,0,445,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,TA,6,Typ,1,TA,RFn,2,TA,TA,Y,0,138,0,0,0,0,12,2006,WD,Abnorml,160000,Attchd,1965.0,101.0,84.0,8658.0,1088.0,1324.0,440.0,1324.0
42,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,Gd,TA,967,Unf,0,383,GasA,Gd,Y,SBrkr,0,0,0,1,1,1,2,1,TA,5,Typ,2,Gd,RFn,1,TA,TA,P,0,104,0,0,0,0,7,2007,WD,Normal,170000,Attchd,1959.0,0.0,115.0,16905.0,1350.0,1328.0,308.0,1328.0
43,85,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,Av,Gd,747,LwQ,93,0,GasA,Gd,Y,SBrkr,0,0,1,0,1,0,2,1,Gd,5,Typ,0,None,RFn,2,TA,Gd,Y,240,0,0,0,0,0,12,2007,WD,Normal,144000,Attchd,1983.0,0.0,,9180.0,840.0,884.0,504.0,884.0
44,20,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,TA,TA,CBlock,Gd,TA,Av,Gd,280,BLQ,491,167,GasA,TA,Y,SBrkr,0,0,1,0,1,0,3,1,TA,5,Typ,0,None,Unf,1,TA,TA,Y,145,0,0,0,0,0,7,2008,WD,Normal,130250,Detchd,1977.0,0.0,,9200.0,938.0,938.0,308.0,938.0
45,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,TA,TA,No,TA,179,BLQ,506,465,GasA,Ex,Y,FuseA,0,0,1,0,1,0,3,1,TA,6,Typ,0,None,RFn,1,TA,TA,Y,0,0,0,0,0,0,5,2006,WD,Normal,141000,Attchd,1959.0,0.0,70.0,7945.0,1150.0,1150.0,300.0,1150.0
46,120,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,No,Ex,456,Unf,0,1296,GasA,Ex,Y,SBrkr,0,0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,RFn,2,TA,TA,Y,196,82,0,0,0,0,2,2010,WD,Normal,319900,Attchd,2005.0,412.0,61.0,7658.0,1752.0,1752.0,576.0,1752.0
47,50,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,Ex,1351,Unf,0,83,GasA,Ex,Y,SBrkr,631,0,1,0,1,1,1,1,Gd,6,Typ,1,Ex,RFn,2,TA,TA,Y,168,43,0,0,198,0,8,2009,WD,Abnorml,239686,Attchd,2003.0,0.0,48.0,12822.0,1434.0,2149.0,670.0,1518.0
48,20,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,Gd,24,Unf,0,1632,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,Gd,7,Typ,0,None,RFn,3,TA,TA,Y,0,146,0,0,0,0,7,2007,WD,Normal,249700,Attchd,2006.0,0.0,84.0,11096.0,1656.0,1656.0,826.0,1656.0
49,190,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,TA,0,Unf,0,736,GasA,Gd,Y,SBrkr,716,0,0,0,2,0,2,3,TA,8,Typ,0,None,NoGarage,0,NoGarage,NoGarage,N,0,0,102,0,0,0,6,2009,New,Partial,113000,None,2005.0,0.0,33.0,4456.0,736.0,1452.0,0.0,736.0
50,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,TA,763,Unf,0,192,GasA,Ex,Y,SBrkr,0,0,1,0,1,0,3,1,TA,6,Typ,0,None,Unf,1,TA,TA,Y,0,0,0,0,0,0,1,2007,WD,Normal,127000,Attchd,1966.0,0.0,66.0,7742.0,955.0,955.0,386.0,955.0
