MSZoning,Street,LotShape,LandSlope,Neighborhood,HouseStyle,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,KitchenQual,FireplaceQu,GarageFinish,GarageType_NoNull,OverallQual,GrLivArea_capped,TotalBsmtSF_capped,2ndFlrSF,BsmtFinSF1,1stFlrSF_capped,LotArea_capped,GarageArea_capped,YearBuilt,LotFrontage_capped
RL,Pave,Reg,Gtl,NAmes,SLvl,TA,CBlock,TA,Av,TA,GasA,TA,Y,TA,Gd,RFn,Attchd,5,1086.0,1024.0,0,516,1086.0,13400.0,484.0,1966,85.0
RL,Pave,IR1,Gtl,NWAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,TA,RFn,Attchd,7,1601.0,1271.0,0,704,1601.0,11880.0,478.0,1978,82.0
RL,Pave,Reg,Gtl,NAmes,2Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,Fa,Unf,Attchd,7,1986.0,768.0,800,454,1186.0,13600.0,486.0,1965,85.0
RL,Pave,Reg,Gtl,NWAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Attchd,7,1164.0,1164.0,0,0,1164.0,9600.0,528.0,1969,80.0
RL,Pave,IR1,Gtl,Gilbert,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,RFn,BuiltIn,6,2267.0,1010.0,1257,0,1010.0,8068.0,390.0,2002,
RL,Pave,Reg,Gtl,Crawfor,1Story,TA,CBlock,Gd,Mn,Gd,GasA,TA,Y,Gd,Gd,Unf,Basment,6,2259.0,1809.0,0,35,2129.096057431453,21000.0,450.0,1953,
RM,Pave,IR1,Gtl,OldTown,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,RFn,Detchd,5,825.0,825.0,0,180,825.0,8235.0,720.0,1955,49.0
RL,Pave,IR1,Gtl,Edwards,2Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Fin,Attchd,6,1426.0,690.0,728,535,698.0,7950.0,440.0,1977,75.0
RL,Pave,IR1,Gtl,Timber,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,TA,Fin,Attchd,6,1651.0,1606.0,0,1398,1651.0,12416.0,616.0,1986,47.0
RL,Pave,Reg,Gtl,Crawfor,1.5Unf,TA,BrkTil,TA,No,TA,Grav,Fa,N,TA,,Unf,Detchd,5,789.0,768.0,0,0,789.0,10594.0,200.0,1926,55.0
RL,Pave,Reg,Gtl,NAmes,2Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,5,2634.0,1248.0,1296,500,1338.0,11643.0,968.0,1969,91.0
RM,Pave,Reg,Gtl,BrkSide,1.5Fin,TA,BrkTil,TA,No,TA,GasA,Ex,Y,TA,Gd,Unf,Detchd,5,1576.0,1042.0,534,0,1042.0,6240.0,225.0,1928,52.0
RL,Pave,Reg,Gtl,Gilbert,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,Fin,Attchd,6,1484.0,783.0,701,0,783.0,10237.0,393.0,2005,65.0
RL,Pave,Reg,Gtl,SawyerW,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1200.0,1176.0,0,833,1200.0,10083.0,555.0,2003,67.0
FV,Pave,IR1,Gtl,Somerst,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Detchd,7,1250.0,625.0,625,0,625.0,4251.0,528.0,2006,35.0
RL,Pave,Reg,Gtl,Crawfor,1Story,Gd,PConc,Gd,Av,Gd,GasA,TA,Y,Ex,TA,Fin,Attchd,7,1902.0,1902.0,0,1406,1902.0,17500.0,567.0,1959,100.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,Slab,NoBasement,NoBasement,NoBasement,Wall,Fa,N,TA,,Unf,Detchd,3,1040.0,0.0,0,0,1040.0,8544.0,400.0,1949,
RL,Pave,IR1,Gtl,NridgHt,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1502.0,1502.0,0,0,1502.0,9541.0,644.0,2009,79.0
RL,Pave,IR1,Gtl,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,Gd,,Unf,Attchd,5,1228.0,1228.0,0,0,1228.0,8544.0,271.0,1966,
RL,Pave,Reg,Gtl,NAmes,1Story,Gd,CBlock,TA,No,TA,GasA,Gd,Y,TA,Gd,Unf,Attchd,5,1268.0,832.0,0,375,1036.0,12144.0,288.0,1949,60.0
RL,Pave,Reg,Gtl,Edwards,1Story,TA,CBlock,TA,No,TA,GasA,TA,N,TA,,NoGarage,,5,864.0,864.0,0,468,864.0,5604.0,0.0,1925,67.0
RL,Pave,Reg,Gtl,NWAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,TA,Unf,Attchd,6,1686.0,1686.0,0,625,1686.0,10240.0,612.0,1980,79.0
RL,Pave,IR1,Gtl,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,TA,Unf,Attchd,4,1620.0,1281.0,0,1116,1620.0,9991.0,490.0,1976,
RL,Pave,IR1,Gtl,Sawyer,SFoyer,TA,CBlock,Gd,Av,Gd,GasA,TA,Y,TA,,Unf,Detchd,5,858.0,858.0,0,685,858.0,7252.0,576.0,1982,
FV,Pave,Reg,Gtl,Somerst,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,7,1301.0,1293.0,0,0,1301.0,7200.0,572.0,2006,60.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,TA,RFn,Attchd,6,1505.0,1505.0,0,1024,1505.0,12160.0,505.0,1953,128.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,,Unf,Attchd,4,864.0,864.0,0,0,864.0,9353.0,280.0,1970,71.0
RL,Pave,Reg,Gtl,SawyerW,SFoyer,TA,CBlock,Gd,Av,Gd,GasA,TA,Y,TA,TA,Unf,Detchd,5,1224.0,1086.0,0,1086,1224.0,7018.0,528.0,1979,64.0
RL,Pave,Reg,Gtl,Sawyer,1Story,TA,PConc,Gd,Mn,Gd,GasA,TA,Y,TA,Gd,Unf,Attchd,5,1383.0,1383.0,0,1064,1383.0,13284.0,354.0,1954,
RL,Pave,Reg,Gtl,Mitchel,1Story,Gd,CBlock,TA,No,TA,GasA,Ex,Y,Gd,Ex,Unf,Attchd,5,816.0,816.0,0,641,816.0,6600.0,264.0,1982,60.0
RM,Pave,Reg,Gtl,Mitchel,SFoyer,TA,PConc,Gd,Gd,Gd,GasA,Ex,Y,TA,,Fin,Attchd,7,1344.0,1344.0,0,1309,1344.0,7060.0,784.0,1997,78.0
FV,Pave,Reg,Gtl,Somerst,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,Unf,Detchd,7,1392.0,689.0,689,0,703.0,3604.0,540.0,2007,34.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,,Unf,Detchd,5,1065.0,1065.0,0,0,1065.0,8892.0,461.0,1960,80.0
RL,Pave,Reg,Gtl,Crawfor,1.5Fin,TA,PConc,TA,No,TA,GasA,Ex,Y,TA,Gd,Unf,Detchd,5,1250.0,661.0,589,0,661.0,5362.0,552.0,1910,53.0
RM,Pave,Reg,Gtl,OldTown,2Story,TA,BrkTil,TA,No,TA,GasA,Gd,Y,TA,,NoGarage,,4,1452.0,736.0,716,0,736.0,4456.0,0.0,1920,33.0
RL,Pave,Reg,Gtl,Edwards,1.5Fin,TA,BrkTil,TA,No,TA,Grav,Fa,N,TA,,NoGarage,,6,1096.0,572.0,524,0,572.0,9600.0,0.0,1924,60.0
FV,Pave,Reg,Gtl,Somerst,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,Fin,Attchd,7,1428.0,1428.0,0,0,1428.0,11639.0,480.0,2007,95.0
RL,Pave,Reg,Gtl,Gilbert,2Story,TA,PConc,Gd,No,Gd,GasA,Gd,Y,TA,TA,Fin,Attchd,6,1658.0,773.0,885,219,773.0,8000.0,431.0,1995,
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,Gd,,RFn,Detchd,5,864.0,864.0,0,398,864.0,7200.0,720.0,1950,60.0
RH,Pave,Reg,Gtl,SWISU,2Story,TA,PConc,TA,Mn,TA,GasA,Gd,Y,TA,,NoGarage,,5,1928.0,686.0,980,0,948.0,7082.0,0.0,1916,
RL,Pave,Reg,Gtl,NAmes,1Story,Gd,CBlock,TA,No,TA,GasA,TA,Y,Gd,Gd,RFn,Attchd,6,1537.0,1319.0,0,0,1537.0,8400.0,462.0,1962,80.0
RL,Pave,IR1,Gtl,Gilbert,2Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,Gd,Fin,BuiltIn,7,1863.0,879.0,984,0,879.0,14054.0,660.0,2006,58.0
FV,Pave,Reg,Gtl,Somerst,2Story,Ex,PConc,Ex,Av,Ex,GasA,Ex,Y,Ex,Ex,Fin,Attchd,10,2007.0,1017.0,981,765,1026.0,11003.0,812.0,2008,85.0
RL,Pave,IR1,Gtl,NridgHt,1Story,Gd,PConc,Ex,Gd,Ex,GasA,Ex,Y,Ex,Gd,Fin,Attchd,9,1792.0,1792.0,0,1567,1792.0,11846.0,874.0,2003,72.0
RM,Pave,Reg,Gtl,OldTown,1Story,Gd,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,5,968.0,968.0,0,0,968.0,8520.0,480.0,1923,60.0
RL,Pave,IR1,Gtl,NWAmes,2Story,TA,CBlock,TA,Mn,TA,GasA,TA,Y,Gd,Gd,Unf,Attchd,6,2654.0,1054.0,1142,619,1512.0,11029.0,619.0,1968,
RL,Pave,IR1,Gtl,Sawyer,SLvl,TA,CBlock,TA,Av,TA,GasA,Ex,Y,TA,,Unf,Attchd,4,960.0,648.0,0,648,960.0,10246.0,364.0,1965,
RM,Pave,Reg,Gtl,OldTown,2.5Unf,Ex,BrkTil,TA,No,TA,GasA,Gd,Y,Gd,Gd,Unf,Detchd,10,2775.0,1237.0,1254,0,1521.0,13500.0,880.0,1893,75.0
RL,Pave,Reg,Gtl,NridgHt,2Story,Ex,PConc,Gd,Av,Gd,GasA,Ex,Y,Ex,Gd,Fin,BuiltIn,9,2643.0,2153.0,574,0,2069.0,13693.0,694.0,2006,105.0
RM,Pave,IR1,Mod,Crawfor,1Story,Gd,PConc,Ex,Gd,Ex,GasA,Ex,Y,Gd,Gd,Fin,Attchd,8,1646.0,1594.0,0,1373,1646.0,3842.0,482.0,2004,44.0
RL,Pave,Reg,Gtl,SawyerW,1Story,Gd,CBlock,Gd,No,Gd,GasA,TA,Y,Gd,TA,Unf,Attchd,6,1298.0,1298.0,0,1258,1298.0,11200.0,403.0,1985,
RL,Pave,IR1,Gtl,CollgCr,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,8,1694.0,1694.0,0,0,1694.0,10475.0,776.0,2008,64.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,Mn,TA,GasA,TA,Y,TA,,RFn,Attchd,6,958.0,958.0,0,498,958.0,12772.0,301.0,1960,
RL,Pave,IR1,Gtl,NAmes,SFoyer,TA,CBlock,TA,Av,TA,GasA,TA,Y,TA,,Unf,Attchd,5,999.0,925.0,0,784,999.0,10205.0,300.0,1962,69.0
RL,Pave,Reg,Gtl,Sawyer,1.5Fin,TA,CBlock,TA,No,TA,GasA,Gd,N,TA,,NoGarage,,5,1020.0,780.0,240,0,780.0,6342.0,0.0,1875,54.0
FV,Pave,Reg,Gtl,Somerst,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1674.0,814.0,860,533,814.0,7500.0,663.0,2000,
RL,Pave,IR1,Gtl,NoRidge,1Story,Gd,PConc,Gd,Gd,Gd,GasA,Ex,Y,Gd,TA,Fin,Attchd,8,2113.0,2109.0,0,1696,2113.0,10437.0,839.0,1995,91.0
RL,Pave,IR1,Gtl,NWAmes,2Story,TA,CBlock,TA,No,TA,GasA,TA,Y,Gd,TA,Fin,Attchd,6,2030.0,848.0,912,156,1118.0,12046.0,551.0,1976,
RL,Pave,Reg,Gtl,SawyerW,2Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,TA,RFn,Attchd,6,1217.0,626.0,591,0,626.0,10762.0,288.0,1980,75.0
RL,Pave,Reg,Gtl,CollgCr,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,2169.0,1284.0,885,0,1284.0,9375.0,647.0,2002,
RL,Pave,IR2,Gtl,NoRidge,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,Fin,BuiltIn,7,1850.0,973.0,871,595,979.0,29959.0,467.0,1994,
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,5,1144.0,1144.0,0,25,1144.0,9204.0,336.0,1963,71.0
RL,Pave,Reg,Gtl,Blmngtn,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,Fin,Attchd,7,1504.0,1346.0,0,16,1504.0,3182.0,437.0,2005,43.0
RL,Pave,Reg,Gtl,NWAmes,1Story,TA,CBlock,TA,No,TA,GasA,Fa,Y,Gd,Fa,RFn,Attchd,6,1309.0,1040.0,0,663,1309.0,10140.0,484.0,1974,78.0
RL,Pave,Reg,Gtl,Edwards,1.5Fin,TA,BrkTil,TA,Mn,TA,GasA,TA,Y,TA,,Unf,Detchd,6,1258.0,560.0,560,204,698.0,9060.0,280.0,1939,60.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,TA,RFn,Attchd,5,1422.0,978.0,0,0,1422.0,12342.0,286.0,1960,
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,,RFn,Attchd,6,1442.0,1442.0,0,608,1442.0,9750.0,301.0,1958,75.0
RL,Pave,Reg,Gtl,Edwards,1.5Fin,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,,Unf,Detchd,5,1200.0,768.0,432,352,768.0,11767.0,240.0,1946,70.0
RL,Pave,IR1,Gtl,Gilbert,2Story,TA,PConc,Gd,No,Gd,GasA,Ex,Y,TA,TA,RFn,Attchd,6,1664.0,953.0,711,0,953.0,8121.0,460.0,2000,
RL,Pave,Reg,Mod,NAmes,SLvl,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,TA,Unf,Detchd,5,1360.0,384.0,0,384,1360.0,7134.0,572.0,1955,60.0
RL,Pave,IR1,Gtl,Gilbert,2Story,Gd,PConc,Ex,Av,Ex,GasA,Ex,Y,Gd,Gd,Fin,Attchd,8,1414.0,707.0,707,0,707.0,9056.0,403.0,2004,74.0
RL,Pave,Reg,Gtl,NWAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,Gd,Unf,Attchd,6,1342.0,1372.0,0,251,1342.0,9790.0,457.0,1967,
RM,Pave,Reg,Gtl,OldTown,1.5Fin,TA,CBlock,Gd,Mn,Gd,GasA,TA,Y,TA,Gd,Unf,Detchd,5,1118.0,793.0,325,507,793.0,7800.0,410.0,1939,65.0
RL,Pave,IR1,Gtl,Crawfor,2Story,TA,BrkTil,Gd,No,Gd,GasA,TA,Y,TA,Gd,Unf,Detchd,6,2345.0,952.0,1175,503,1170.0,16560.0,360.0,1932,80.0
RL,Pave,IR1,Gtl,NWAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,Ex,Y,TA,TA,RFn,Attchd,6,1844.0,1844.0,0,705,1844.0,11751.0,546.0,1977,105.0
RM,Pave,Reg,Gtl,BrDale,2Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,6,987.0,483.0,504,387,483.0,1680.0,264.0,1971,21.0
RL,Pave,IR1,Gtl,NWAmes,1Story,TA,PConc,TA,Mn,TA,GasA,Gd,Y,Gd,TA,RFn,Attchd,6,1610.0,1610.0,0,1200,1610.0,10603.0,480.0,1977,
RL,Pave,Reg,Gtl,Mitchel,1Story,TA,PConc,TA,No,TA,GasA,TA,Y,TA,,Unf,Attchd,6,1080.0,1084.0,0,336,1080.0,9187.0,484.0,1983,71.0
RL,Pave,Reg,Mod,Mitchel,1Story,TA,CBlock,TA,Av,TA,GasA,Ex,Y,TA,TA,Fin,2Types,4,1622.0,1249.0,0,1159,1622.0,32463.0,1007.4922406197524,1961,
RL,Pave,IR1,Gtl,Gilbert,2Story,TA,PConc,Gd,Av,Gd,GasA,Gd,Y,TA,TA,Fin,Attchd,6,1511.0,802.0,709,714,802.0,11207.0,413.0,1997,70.0
RL,Pave,IR1,Gtl,NAmes,SLvl,TA,PConc,TA,Av,TA,GasA,TA,Y,TA,Gd,RFn,Attchd,5,1152.0,1152.0,0,1014,1152.0,14112.0,484.0,1964,
RM,Pave,Reg,Gtl,IDOTRR,1.5Fin,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Attchd,5,1558.0,910.0,648,420,910.0,13710.0,282.0,1950,75.0
RL,Pave,IR1,Gtl,SawyerW,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,8,1911.0,777.0,846,380,1065.0,9554.0,471.0,1993,80.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,Mn,TA,GasA,TA,Y,TA,,Unf,Detchd,5,1306.0,992.0,0,860,1306.0,8712.0,756.0,1957,64.0
RM,Pave,Reg,Gtl,OldTown,2.5Unf,TA,PConc,TA,No,TA,GasA,TA,N,TA,,Unf,Detchd,5,2138.0,849.0,1063,0,1075.0,8100.0,360.0,1898,90.0
FV,Pave,IR1,Gtl,Somerst,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,2466.0,1580.0,886,0,1580.0,11143.0,610.0,2004,102.0
RL,Pave,IR1,Gtl,NAmes,1.5Fin,TA,CBlock,TA,No,TA,GasA,TA,Y,Gd,Gd,RFn,Attchd,6,1734.0,912.0,649,600,1085.0,9786.0,440.0,1962,77.0
RM,Pave,Reg,Gtl,BrkSide,1.5Fin,TA,BrkTil,TA,No,TA,GasA,TA,Y,TA,Gd,RFn,BuiltIn,6,1158.0,862.0,208,0,950.0,6000.0,208.0,1929,50.0
RL,Pave,Reg,Gtl,Mitchel,1Story,TA,Slab,NoBasement,NoBasement,NoBasement,GasA,TA,Y,TA,TA,Unf,Attchd,5,1771.0,0.0,0,0,1771.0,21750.0,336.0,1960,100.0
RL,Pave,IR1,Gtl,NPkVill,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,TA,RFn,Attchd,6,958.0,1078.0,0,120,958.0,4928.0,440.0,1976,
RL,Pave,Reg,Gtl,NridgHt,1Story,Ex,PConc,Ex,Av,Ex,GasA,Ex,Y,Gd,Gd,Unf,Attchd,9,1828.0,1822.0,0,48,1828.0,11694.0,774.0,2007,90.0
RL,Pave,Reg,Gtl,Edwards,1.5Fin,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,Gd,Unf,Attchd,5,1716.0,768.0,568,292,1148.0,11409.0,281.0,1949,60.0
RL,Pave,IR1,Gtl,NridgHt,2Story,Ex,PConc,Ex,Av,Ex,GasA,Ex,Y,Ex,Gd,Fin,Attchd,9,2713.0,1452.0,1237,1330,1476.0,14948.0,858.0,2008,67.0
RM,Pave,Reg,Gtl,BrkSide,1.5Fin,TA,BrkTil,TA,No,TA,GasA,TA,Y,TA,Gd,Unf,Detchd,6,1367.0,884.0,408,425,959.0,6240.0,560.0,1931,52.0
RM,Pave,Reg,Gtl,OldTown,2Story,Gd,PConc,TA,No,TA,GasA,Ex,Y,Ex,Gd,Unf,Attchd,7,1826.0,910.0,910,299,916.0,2500.0,164.0,1915,50.0
RL,Pave,IR2,Gtl,CollgCr,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,6,1200.0,1200.0,0,334,1200.0,11249.0,521.0,1995,105.0
RM,Pave,IR1,Gtl,OldTown,1.5Fin,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,5,1382.0,720.0,0,360,854.0,12358.0,660.0,1941,
RL,Pave,IR1,Gtl,Gilbert,2Story,TA,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,Fin,Attchd,6,1456.0,728.0,728,0,728.0,8029.0,400.0,2005,51.0
RL,Pave,IR2,Gtl,NoRidge,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,8,2448.0,1629.0,762,1361,1686.0,35469.990413139654,711.0,1994,52.0
RH,Pave,Reg,Gtl,SWISU,2Story,TA,PConc,TA,Av,TA,GasA,TA,N,TA,,NoGarage,,5,1964.0,940.0,940,0,1024.0,8525.0,0.0,1911,55.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,Ex,Y,TA,,RFn,Attchd,6,1092.0,1092.0,0,787,1092.0,8250.0,504.0,1964,75.0
RL,Pave,Reg,Gtl,NAmes,1Story,Gd,CBlock,TA,No,TA,GasA,Gd,Y,Gd,Gd,Unf,Attchd,5,1113.0,1113.0,0,607,1113.0,9600.0,264.0,1950,80.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,Po,NoGarage,,4,864.0,864.0,0,432,864.0,10500.0,0.0,1971,70.0
RL,Pave,Reg,Gtl,Gilbert,2Story,TA,PConc,TA,No,TA,GasA,Gd,Y,Gd,TA,Fin,Attchd,7,1804.0,994.0,776,0,1028.0,7500.0,442.0,1999,60.0
RL,Pave,Reg,Gtl,Mitchel,1Story,TA,CBlock,TA,Av,TA,GasA,TA,Y,TA,,Unf,Attchd,5,1632.0,1632.0,0,0,1632.0,25000.0,576.0,1967,100.0
RL,Pave,Reg,Gtl,NWAmes,2Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,TA,RFn,Attchd,6,2614.0,1522.0,1066,956,1548.0,10800.0,624.0,1974,90.0
RL,Pave,IR1,Gtl,NridgHt,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,7,1314.0,1314.0,0,904,1314.0,5001.0,626.0,2007,34.0
RL,Pave,IR1,Gtl,NoRidge,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,7,1923.0,750.0,862,674,1061.0,10186.0,564.0,1992,107.0
RL,Pave,Reg,Gtl,CollgCr,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1484.0,1473.0,0,712,1484.0,8400.0,606.0,2004,70.0
RL,Pave,Reg,Gtl,BrkSide,1Story,Fa,CBlock,TA,No,TA,GasA,Gd,Y,Fa,,NoGarage,,4,708.0,420.0,0,280,708.0,5330.0,0.0,1940,50.0
RL,Pave,Reg,Gtl,NridgHt,1Story,Gd,PConc,Ex,Av,Ex,GasA,Ex,Y,Ex,Gd,Fin,Attchd,8,1713.0,1713.0,0,1088,1713.0,9591.0,856.0,2004,76.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,Fa,Unf,Detchd,5,1269.0,1269.0,0,374,1269.0,7931.0,308.0,1960,70.0
RL,Pave,IR2,Gtl,Somerst,1Story,Gd,PConc,Ex,Mn,Ex,GasA,Ex,Y,Ex,Ex,Fin,Attchd,8,2097.0,2077.0,0,1721,2097.0,20896.0,1007.4922406197524,2005,49.0
RL,Pave,IR1,Gtl,CollgCr,1Story,TA,CBlock,TA,Mn,TA,GasA,Ex,Y,TA,,RFn,Attchd,5,864.0,864.0,0,360,864.0,9560.0,288.0,1972,120.0
RL,Pave,IR1,Gtl,NridgHt,2Story,Ex,PConc,Ex,Av,Ex,GasA,Ex,Y,Ex,Gd,Fin,Attchd,9,2184.0,1104.0,1054,936,1130.0,11308.0,836.0,2008,96.0
RL,Pave,Reg,Gtl,NoRidge,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Fa,RFn,Attchd,8,1624.0,1624.0,0,1456,1624.0,12461.0,757.0,1994,89.0
RL,Pave,Reg,Gtl,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,,Unf,Detchd,5,1040.0,1040.0,0,906,1040.0,11200.0,384.0,1965,70.0
RL,Pave,IR1,Gtl,Gilbert,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,Fin,BuiltIn,7,2035.0,884.0,1151,0,884.0,9505.0,434.0,2001,
